Epoch:  20%|██        | 40/200 [17:46<1:12:25, 27.16s/epoch]Epoch 039 | Learning rate 0.001000 | train normalized MSE   0.3553 | val normalized MSE   0.3932, | val MAE   1.6075 | val MSE   9.8302
Epoch:  20%|██        | 41/200 [18:14<1:12:14, 27.26s/epoch]Epoch 040 | Learning rate 0.001000 | train normalized MSE   0.3574 | val normalized MSE   0.3568, | val MAE   1.4781 | val MSE   8.9193
Epoch:  21%|██        | 42/200 [18:42<1:12:13, 27.43s/epoch]Epoch 041 | Learning rate 0.001000 | train normalized MSE   0.3461 | val normalized MSE   0.3724, | val MAE   1.5214 | val MSE   9.3093
Epoch:  22%|██▏       | 43/200 [19:09<1:11:26, 27.30s/epoch]Epoch 042 | Learning rate 0.001000 | train normalized MSE   0.3458 | val normalized MSE   0.3635, | val MAE   1.5223 | val MSE   9.0875
Epoch:  22%|██▏       | 44/200 [19:35<1:10:24, 27.08s/epoch]Epoch 043 | Learning rate 0.001000 | train normalized MSE   0.3445 | val normalized MSE   0.3732, | val MAE   1.5369 | val MSE   9.3288
Epoch:  22%|██▎       | 45/200 [20:02<1:09:52, 27.05s/epoch]Epoch 044 | Learning rate 0.001000 | train normalized MSE   0.3425 | val normalized MSE   0.3711, | val MAE   1.5247 | val MSE   9.2768
Epoch:  23%|██▎       | 46/200 [20:28<1:08:50, 26.82s/epoch]Epoch 045 | Learning rate 0.001000 | train normalized MSE   0.3400 | val normalized MSE   0.3725, | val MAE   1.5277 | val MSE   9.3126
Epoch:  24%|██▎       | 47/200 [20:55<1:08:05, 26.70s/epoch]Epoch 046 | Learning rate 0.000750 | train normalized MSE   0.3399 | val normalized MSE   0.3650, | val MAE   1.4998 | val MSE   9.1262
Epoch:  24%|██▍       | 48/200 [21:21<1:07:33, 26.67s/epoch]Epoch 047 | Learning rate 0.000750 | train normalized MSE   0.3188 | val normalized MSE   0.3444, | val MAE   1.4936 | val MSE   8.6107
Epoch:  24%|██▍       | 49/200 [21:49<1:07:45, 26.93s/epoch]Epoch 048 | Learning rate 0.000750 | train normalized MSE   0.3173 | val normalized MSE   0.3341, | val MAE   1.4322 | val MSE   8.3520
Epoch:  25%|██▌       | 50/200 [22:16<1:07:19, 26.93s/epoch]Epoch 049 | Learning rate 0.000750 | train normalized MSE   0.3141 | val normalized MSE   0.3402, | val MAE   1.4362 | val MSE   8.5040
Epoch:  26%|██▌       | 51/200 [22:42<1:06:08, 26.63s/epoch]Epoch 050 | Learning rate 0.000750 | train normalized MSE   0.3119 | val normalized MSE   0.3322, | val MAE   1.4266 | val MSE   8.3043
Epoch:  26%|██▌       | 52/200 [23:08<1:05:29, 26.55s/epoch]Epoch 051 | Learning rate 0.000750 | train normalized MSE   0.3143 | val normalized MSE   0.3382, | val MAE   1.4123 | val MSE   8.4545
Epoch:  26%|██▋       | 53/200 [23:35<1:05:16, 26.64s/epoch]Epoch 052 | Learning rate 0.000750 | train normalized MSE   0.3139 | val normalized MSE   0.3446, | val MAE   1.4411 | val MSE   8.6161
Epoch:  27%|██▋       | 54/200 [24:02<1:05:11, 26.79s/epoch]Epoch 053 | Learning rate 0.000750 | train normalized MSE   0.3076 | val normalized MSE   0.3312, | val MAE   1.3998 | val MSE   8.2808
